"Research study focuses on impact of alcohol culture on UNC students of color","Eileen Foster","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-color-of-drinking-unc-study"
"'I'm very proud of us': UNC students react to upcoming Final Four game","Natalie Varma","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-final-four-reactions"
"'Garden for everybody': A look at the Coker Arboretum on UNC's campus","Celia Funderburk","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-coker-arboretum-feature"
"'Definitely a big deal': Faculty adjust exam schedules to celebrate UNC men's basketball","Hannah Rosenberger","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-moved-exams-game"
"'We will be inheriting the Earth': Community gathers for climate strike","Holly Adams","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-climate-strike"
"UNC Board of Trustees finance committee talks all funds budget, campus renovations","Layna Hong","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-bot-finance-0323"
"Carolina Collaborative for Resilience offers student coaching program","Hadley Chapman","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-resilience-coach-program"
"'This is her time': UNC alumna to voice announcements for 94th Academy Awards","Valeria Cloës","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-janora-mcduffie-feature"
"UNC professor prepares for space travel ahead of March 29 Blue Origin launch","Lauren Fichten","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-jim-kitchen-feature"
"'This is really disrespectful': Display of 'Tarred Healing' photo story canceled","Jade Neptune","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-tarred-healing-follow-up"
"Faculty Executive Committee discusses 'Tarred Healing' photo story, faculty salaries","Brianna Atkinson","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-fec-meeting0321"
"History, Race and a Way Forward commission discusses upcoming building dedications","Madi Kirkman","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-hrwf-meeting-0321"
"UPenn dean gives inaugural lecture in new series on racial equity","Jennifer Tran","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-distinguished-lectureship"
"Meet Aliyah Griffith, first Black UNC student to get a marine sciences graduate degree","Celia Funderburk","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-aliyah-griffith-feature"
"UNC students support art and sustainability in Chapel Hill-based studio","Annie Ham","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-mad-griffin-studio"
"Postcard project aims to capture UNC staff's experiences during pandemic","Zoe Frederick","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-pandemic-postcards"
"University hosts first-ever Carolina Engagement Week","Alan Hunt","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-carolina-engagement-week"
"'I hope to empower': Meet music education lecturer LaSaundra Booth","Kelly Kendall","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-lasaundra-booth-feature"
"Diversity committee discusses 'Tarred Healing' photo story, vice chancellor plagiarism","Zoe Frederick","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-community-diversity-meeting0310"
"Faculty Council discusses salary inequities, recent vice chancellor resignation","Emily Shih","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-faculty-council-meeting-0311"
"Emerson College's Raul Reis to be next Hussman School dean","Praveena Somasundaram","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-hussman-school-dean-breaking"
"University names 2022 MLK Unsung Hero Award winners","Zoe Frederick","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-unsung-hero-award"
"Terry Magnuson, UNC vice chancellor for research, resigns from role","Praveena Somasundaram","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-terry-magnuson-research-resigns-from-position"
"Counsel fees add to UNC System losses in the Silent Sam settlements","Natalie Varma","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-silent-sam-counsel-payments"
"UNC School of Government dean to step down at end of year","Liv Reilly","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-gov-dean-stepping-down-breaking"
"UNC-Chapel Hill Ethics Bowl team competes at nationals","Holly Adams","University","2022/03","https://www.dailytarheel.com/article/2022/03/university-ethics-bowl-team"
